QID_2022,Action,Argument,Notes
conf1canTime,Delete,,
conf2canTime,Delete,,
currentEmp10Time,Delete,,
currentEmp11Time,Delete,,
currentEmp12Time,Delete,,
currentEmp13qausTime,Delete,,
currentEmp13Time,Delete,,
currentEmp1nlTime,Delete,,
currentEmp1qdeTime,Delete,,
currentEmp1Time,Delete,,
currentEmp20deqdeTime,Delete,,
currentEmp20qusTime,Delete,,
currentEmp21deqdeTime,Delete,,
currentEmp22deqdeTime,Delete,,
currentEmp23deqdeTime,Delete,,
currentEmp24deqdeTime,Delete,,
currentEmp2qarTime,Delete,,
currentEmp2qausTime,Delete,,
currentEmp2qdeTime,Delete,,
currentEmp2qfinTime,Delete,,
currentEmp2qnlTime,Delete,,
currentEmp2qnorTime,Delete,,
currentEmp2qnzlTime,Delete,,
currentEmp2qsweTime,Delete,,
currentEmp2qukTime,Delete,,
currentEmp2qusTime,Delete,,
currentEmp2qzafTime,Delete,,
currentEmp5Time,Delete,,
currentEmp60Time,Delete,,
currentEmp6Time,Delete,,
currentEmp9Time,Delete,,
currentWork1Time,Delete,,
currentWork2Time,Delete,,
datestamp,Delete,,
disa1,Delete,,
disa1Time,Delete,,
edu1qaus[other],Delete,,
edu1qausTime,Delete,,
edu1qcan[other],Delete,,
edu1qcanTime,Delete,,
edu1qde[other],Delete,,
edu1qdeTime,Delete,,
edu1qnl[other],Delete,,
edu1qnlTime,Delete,,
edu1qnord[other],Delete,,
edu1qnordTime,Delete,,
edu1qnzl[other],Delete,,
edu1qnzlTime,Delete,,
edu1quk[other],Delete,,
edu1qukTime,Delete,,
edu1qus[other],Delete,,
edu1qusTime,Delete,,
edu1qworldTime,Delete,,
edu2qausTime,Delete,,
edu2Time,Delete,,
edu4Time,Delete,,
fund1canTime,Delete,,
fund2[SQ001],Delete,,
fund2Time,Delete,,
groupTime1563,Delete,,
groupTime1564,Delete,,
groupTime1565,Delete,,
groupTime1566,Delete,,
groupTime1567,Delete,,
groupTime1568,Delete,,
