Field of education for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Physics and Astronomy,55,31.428571428571427,34.32203389830508,-2.8934624697336524
Computer Science,49,28.000000000000004,23.728813559322035,4.271186440677969
Mathematics,15,8.571428571428571,7.627118644067797,0.9443099273607745
Biological Sciences,13,7.428571428571429,11.864406779661017,-4.4358353510895885
Chemistry,10,5.714285714285714,5.084745762711865,0.6295399515738493
Geography & Environmental Sciences,8,4.571428571428571,4.661016949152542,-0.08958837772397121
Electrical & Electronic Engineering,6,3.428571428571429,2.5423728813559325,0.8861985472154963
Mechanical Engineering,4,2.2857142857142856,0.847457627118644,1.4382566585956416
English,2,1.1428571428571428,0.847457627118644,0.29539951573849876
,2,1.1428571428571428,0.423728813559322,0.7191283292978208
Medicine,2,1.1428571428571428,0.847457627118644,0.29539951573849876
Theology & Religious Studies,1,0.5714285714285714,0.423728813559322,0.14769975786924938
Geology,1,0.5714285714285714,1.694915254237288,-1.1234866828087167
Robotics,1,0.5714285714285714,0.423728813559322,0.14769975786924938
History,1,0.5714285714285714,0.423728813559322,0.14769975786924938
Ophthalmics,1,0.5714285714285714,,
Economics,1,0.5714285714285714,,
French,1,0.5714285714285714,,
Music,1,0.5714285714285714,,
Aeronautical & Manufacturing Engineering,1,0.5714285714285714,0.847457627118644,-0.27602905569007263
