Field of education for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Computer Science,37,23.125,25.850340136054424,-2.725340136054424
Physics and Astronomy,31,19.375,29.931972789115648,-10.556972789115648
Mathematics,19,11.875,8.843537414965986,3.0314625850340136
Biological Sciences,17,10.625,9.523809523809524,1.1011904761904763
Chemistry,12,7.5,1.3605442176870748,6.139455782312925
Electrical & Electronic Engineering,7,4.375,4.081632653061225,0.2933673469387754
Mechanical Engineering,5,3.125,1.3605442176870748,1.7644557823129252
Materials Technology,5,3.125,1.3605442176870748,1.7644557823129252
Psychology,3,1.875,0.6802721088435374,1.1947278911564627
,3,1.875,1.3605442176870748,0.5144557823129252
Geography & Environmental Sciences,3,1.875,2.7210884353741496,-0.8460884353741496
Aeronautical & Manufacturing Engineering,2,1.25,,
Chemical Engineering,2,1.25,1.3605442176870748,-0.11054421768707479
Philosophy,1,0.625,1.3605442176870748,-0.7355442176870748
Accounting & Finance,1,0.625,0.6802721088435374,-0.05527210884353739
Economics,1,0.625,1.3605442176870748,-0.7355442176870748
Agriculture & Forestry,1,0.625,,
Anatomy & Physiology,1,0.625,,
History,1,0.625,1.3605442176870748,-0.7355442176870748
English,1,0.625,,
Music,1,0.625,1.3605442176870748,-0.7355442176870748
East & South Asian Studies,1,0.625,0.6802721088435374,-0.05527210884353739
Town & Country Planning and Landscape Design,1,0.625,,
Politics,1,0.625,0.6802721088435374,-0.05527210884353739
Sociology,1,0.625,,
General Engineering,1,0.625,,
Geology,1,0.625,1.3605442176870748,-0.7355442176870748
