field of work for World,Count,Percentage,Percentage in 2018,Difference with previous year
Computer Science,425.0,42.62788365095286,35.57788944723618,7.049994203716679
Biological Sciences,273.0,27.382146439317957,21.608040201005025,5.774106238312932
Physics and Astronomy,248.0,24.874623871614844,27.1356783919598,-2.261054520344956
Geography & Environmental Sciences,159.0,15.947843530591776,15.376884422110553,0.5709591084812224
Mathematics,147.0,14.744232698094283,10.050251256281408,4.693981441812875
Medicine,111.0,11.133400200601805,8.341708542713567,2.7916916578882383
Chemistry,95.0,9.528585757271815,6.733668341708543,2.7949174155632717
Mechanical Engineering,66.0,6.619859578736209,5.8291457286432165,0.7907138500929927
Education,65.0,6.519558676028084,5.125628140703518,1.3939305353245661
Materials Technology,59.0,5.917753259779338,4.924623115577889,0.9931301442014489
Agriculture & Forestry,59.0,5.917753259779338,3.2160804020100504,2.7016728577692875
General Engineering,57.0,5.717151454363089,5.125628140703518,0.5915233136595708
Geology,54.0,5.416248746238716,4.623115577889447,0.7931331683492688
Psychology,51.0,5.1153460381143425,2.4120603015075375,2.703285736606805
Electrical & Electronic Engineering,47.0,4.714142427281845,6.934673366834171,-2.220530939552326
Civil Engineering,46.0,4.613841524573721,3.4170854271356785,1.1967560974380427
Linguistics,45.0,4.513540621865597,2.9145728643216082,1.598967757543989
Librarianship & Information Management,45.0,4.513540621865597,2.7135678391959797,1.7999727826696175
Chemical Engineering,40.0,4.012036108324975,3.015075376884422,0.9969607314405531
History,39.0,3.911735205616851,3.1155778894472363,0.7961573161696145
Sociology,37.0,3.711133400200602,2.3115577889447234,1.3995756112558784
Aeronautical & Manufacturing Engineering,31.0,3.1093279839518555,3.7185929648241203,-0.6092649808722648
Robotics,30.0,3.009027081243731,4.1206030150753765,-1.1115759338316455
Economics,30.0,3.009027081243731,3.015075376884422,-0.0060482956406908706
Business & Management Studies,23.0,2.3069207622868606,1.105527638190955,1.2013931240959057
Communication & Media Studies,22.0,2.206619859578736,2.512562814070352,-0.3059429544916159
English,20.0,2.0060180541624875,1.0050251256281406,1.0009929285343468
Politics,20.0,2.0060180541624875,1.2060301507537687,0.7999879034087187
Classics & Ancient History,19.0,1.9057171514543632,2.1105527638190953,-0.20483561236473213
Anthropology,17.0,1.7051153460381143,0.9045226130653266,0.8005927329727878
Accounting & Finance,16.0,1.60481444332999,1.105527638190955,0.4992868051390351
Food Science,15.0,1.5045135406218655,0.7035175879396985,0.800995952682167
Philosophy,15.0,1.5045135406218655,1.0050251256281406,0.49948841499372487
Law,15.0,1.5045135406218655,0.9045226130653266,0.5999909275565389
Art & Design,13.0,1.3039117352056169,1.507537688442211,-0.20362595323659405
"History of Art, Architecture & Design",12.0,1.2036108324974923,1.105527638190955,0.09808319430653745
Music,12.0,1.2036108324974923,0.7035175879396985,0.5000932445577938
Information and computing sciences,12.0,1.2036108324974923,0.0,1.2036108324974923
Pharmacology & Pharmacy,11.0,1.103309929789368,1.9095477386934674,-0.8062378089040994
Social Policy,11.0,1.103309929789368,1.407035175879397,-0.30372524609002904
Anatomy & Physiology,10.0,1.0030090270812437,1.306532663316583,-0.3035236362353393
Criminology,10.0,1.0030090270812437,0.8040201005025126,0.19898892657873113
Sports Science,9.0,0.9027081243731194,0.4020100502512563,0.5006980741218632
Social Work,9.0,0.9027081243731194,0.6030150753768844,0.29969304899623506
German,9.0,0.9027081243731194,1.507537688442211,-0.6048295640690915
East & South Asian Studies,9.0,0.9027081243731194,0.3015075376884422,0.6012005866846772
Architecture,8.0,0.802407221664995,0.7035175879396985,0.09888963372529647
Biomedical and clinical sciences,7.0,0.7021063189568706,0.0,0.7021063189568706
Middle Eastern and African Studies,7.0,0.7021063189568706,0.7035175879396985,-0.0014112689828279512
Veterinary Medicine,7.0,0.7021063189568706,0.6030150753768844,0.09909124357998622
French,7.0,0.7021063189568706,0.6030150753768844,0.09909124357998622
Theology & Religious Studies,7.0,0.7021063189568706,1.2060301507537687,-0.5039238317968981
Earth sciences,6.0,0.6018054162487462,0.0,0.6018054162487462
Biological sciences,6.0,0.6018054162487462,0.0,0.6018054162487462
Health sciences,6.0,0.6018054162487462,0.0,0.6018054162487462
Complementary Medicine,6.0,0.6018054162487462,0.5025125628140703,0.09929285343467587
Physical sciences,6.0,0.6018054162487462,0.0,0.6018054162487462
Built environment and design,5.0,0.5015045135406219,0.0,0.5015045135406219
Engineering,5.0,0.5015045135406219,0.0,0.5015045135406219
"Language, communication and culture",5.0,0.5015045135406219,0.0,0.5015045135406219
Town & Country Planning and Landscape Design,5.0,0.5015045135406219,0.6030150753768844,-0.1015105618362625
Ophthalmics,5.0,0.5015045135406219,0.6030150753768844,-0.1015105618362625
American Studies,5.0,0.5015045135406219,0.6030150753768844,-0.1015105618362625
Dentistry,5.0,0.5015045135406219,0.6030150753768844,-0.1015105618362625
Marketing,5.0,0.5015045135406219,0.8040201005025126,-0.30251558696189074
Counselling,4.0,0.4012036108324975,0.20100502512562815,0.20019858570686935
"History, heritage and archaeology",4.0,0.4012036108324975,0.0,0.4012036108324975
Environmental sciences,4.0,0.4012036108324975,0.0,0.4012036108324975
Iberian Languages/Hispanic Studies,4.0,0.4012036108324975,0.5025125628140703,-0.1013089519815728
"Commerce, management, tourism and services",4.0,0.4012036108324975,0.0,0.4012036108324975
Chemical sciences,4.0,0.4012036108324975,0.0,0.4012036108324975
Nursing,4.0,0.4012036108324975,0.4020100502512563,-0.0008064394187587975
Human society,4.0,0.4012036108324975,0.0,0.4012036108324975
Economics.1,3.0,0.3009027081243731,0.0,0.3009027081243731
Education.1,3.0,0.3009027081243731,0.0,0.3009027081243731
Physiotherapy,3.0,0.3009027081243731,0.20100502512562815,0.09989768299874494
Mathematical sciences,2.0,0.20060180541624875,0.0,0.20060180541624875
Psychology.1,2.0,0.20060180541624875,0.0,0.20060180541624875
Indigenous studies,2.0,0.20060180541624875,0.0,0.20060180541624875
Russian & East European Languages,2.0,0.20060180541624875,0.20100502512562815,-0.00040321970937939877
Land & Property Management,2.0,0.20060180541624875,0.6030150753768844,-0.40241326996063564
Fashion,1.0,0.10030090270812438,0.20100502512562815,-0.10070412241750377
Creative arts and writing,1.0,0.10030090270812438,0.0,0.10030090270812438
Law and legal studies,1.0,0.10030090270812438,0.0,0.10030090270812438
Philosophy and religious studies,1.0,0.10030090270812438,0.0,0.10030090270812438
Youth Work,1.0,0.10030090270812438,0.4020100502512563,-0.30170914754313194
"Hospitality, Leisure, Recreation & Tourism",1.0,0.10030090270812438,0.20100502512562815,-0.10070412241750377
02 Physical Sciences,0.0,0.0,3.618090452261306,-3.618090452261306
01 Mathematical Sciences,0.0,0.0,2.4120603015075375,-2.4120603015075375
HEALTH SCIENCES,0.0,0.0,0.10050251256281408,-0.10050251256281408
OTHER STUDIES IN NATURAL SCIENCES AND ENGINEERING,0.0,0.0,0.20100502512562815,-0.20100502512562815
LIFE SCIENCES RESEARCH RELATED TO HUMAN HEALTH AND DISEASE,0.0,0.0,0.20100502512562815,-0.20100502512562815
PSYCHOLOGY,0.0,0.0,0.20100502512562815,-0.20100502512562815
EVOLUTION AND ECOLOGY,0.0,0.0,0.20100502512562815,-0.20100502512562815
MICROBIOLOGY,0.0,0.0,0.10050251256281408,-0.10050251256281408
04 Earth Sciences,0.0,0.0,2.21105527638191,-2.21105527638191
03 Chemical Sciences,0.0,0.0,1.0050251256281406,-1.0050251256281406
17 Psychology and Cognitive Sciences,0.0,0.0,0.3015075376884422,-0.3015075376884422
05 Environmental Sciences,0.0,0.0,2.1105527638190953,-2.1105527638190953
"15 Commerce, Management, Tourism and Services",0.0,0.0,0.20100502512562815,-0.20100502512562815
HYDROLOGY,0.0,0.0,0.10050251256281408,-0.10050251256281408
22 Philosophy and Religious Studies,0.0,0.0,0.3015075376884422,-0.3015075376884422
21 History and Archaeology,0.0,0.0,0.3015075376884422,-0.3015075376884422
"20 Language, Communication and Culture",0.0,0.0,0.5025125628140703,-0.5025125628140703
19 Studies in Creative Arts and Writing,0.0,0.0,0.3015075376884422,-0.3015075376884422
18 Law and Legal Studies,0.0,0.0,0.10050251256281408,-0.10050251256281408
16 Studies in Human Society,0.0,0.0,0.4020100502512563,-0.4020100502512563
14 Economics,0.0,0.0,0.20100502512562815,-0.20100502512562815
06 Biological Sciences,0.0,0.0,3.4170854271356785,-3.4170854271356785
13 Education,0.0,0.0,0.9045226130653266,-0.9045226130653266
12 Built Environment and Design,0.0,0.0,0.20100502512562815,-0.20100502512562815
11 Medical and Health Sciences,0.0,0.0,2.4120603015075375,-2.4120603015075375
10 Technology,0.0,0.0,2.613065326633166,-2.613065326633166
09 Engineering,0.0,0.0,2.3115577889447234,-2.3115577889447234
08 Information and Computing Sciences,0.0,0.0,4.522613065326634,-4.522613065326634
07 Agricultural and Veterinary Sciences,0.0,0.0,1.0050251256281406,-1.0050251256281406
FLUID MECHANICS,0.0,0.0,0.10050251256281408,-0.10050251256281408
BIOMEDICAL ENGINEERING,0.0,0.0,0.10050251256281408,-0.10050251256281408
DESIGN AND MANUFACTURING,0.0,0.0,0.10050251256281408,-0.10050251256281408
INDUSTRIAL ENGINEERING,0.0,0.0,0.10050251256281408,-0.10050251256281408
ENVIRONMENTAL ENGINEERING,0.0,0.0,0.10050251256281408,-0.10050251256281408
INFORMATION TECHNOLOGY,0.0,0.0,0.20100502512562815,-0.20100502512562815
ARTIFICIAL INTELLIGENCE,0.0,0.0,0.20100502512562815,-0.20100502512562815
PHYSICAL GEOGRAPHY,0.0,0.0,0.10050251256281408,-0.10050251256281408
EARTH SCIENCE,0.0,0.0,0.10050251256281408,-0.10050251256281408
CONDENSED MATTERPHYSICS,0.0,0.0,0.10050251256281408,-0.10050251256281408
ASTRONOMY AND ASTROPHYSICS,0.0,0.0,0.3015075376884422,-0.3015075376884422
THEORETICAL PHYSICS AND CHEMISTRY,0.0,0.0,0.10050251256281408,-0.10050251256281408
PHYSICS,0.0,0.0,0.10050251256281408,-0.10050251256281408
STATISTICS AND PROBABILITY,0.0,0.0,0.4020100502512563,-0.4020100502512563
APPLIED MATHEMATICS,0.0,0.0,0.10050251256281408,-0.10050251256281408
