Bus factor for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,11,5.092592592592593,5.762711864406779,-0.6701192718141868
1.0,125,57.870370370370374,57.28813559322033,0.5822347771500418
1.5,2,0.9259259259259258,0.6779661016949152,0.2479598242310106
2.0,51,23.61111111111111,26.440677966101696,-2.829566854990585
3.0,8,3.7037037037037033,5.762711864406779,-2.059008160703076
3.5,1,0.4629629629629629,,
4.0,4,1.8518518518518516,1.0169491525423728,0.8349026993094788
5.0,7,3.2407407407407405,1.0169491525423728,2.2237915881983676
8.0,1,0.4629629629629629,,
10.0,3,1.3888888888888888,,
18.0,1,0.4629629629629629,,
20.0,1,0.4629629629629629,,
9999999999.0,1,0.4629629629629629,,
