Citation of software for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,9.0,4.891304347826087,10.135135135135135,-5.243830787309048
3,7.0,3.804347826086957,6.756756756756757,-2.9524089306698
4,8.0,4.3478260869565215,4.391891891891892,-0.0440658049353706
5,15.0,8.152173913043478,8.108108108108109,0.04406580493536971
6,5.0,2.717391304347826,5.0675675675675675,-2.3501762632197414
7,22.0,11.956521739130435,6.418918918918918,5.537602820211517
8,19.0,10.326086956521738,7.094594594594595,3.2314923619271436
9,20.0,10.869565217391305,5.743243243243244,5.126321974148061
10 (All the time),58.0,31.521739130434785,22.635135135135133,8.886603995299652
