Citation of software for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,2.0,4.166666666666666,1.9607843137254901,2.2058823529411757
3,,,,
4,2.0,4.166666666666666,,
5,5.0,10.416666666666668,5.88235294117647,4.534313725490198
6,1.0,2.083333333333333,9.803921568627452,-7.720588235294119
7,2.0,4.166666666666666,7.8431372549019605,-3.6764705882352944
8,11.0,22.916666666666664,13.725490196078432,9.191176470588232
9,4.0,8.333333333333332,3.9215686274509802,4.4117647058823515
10 (All the time),14.0,29.166666666666668,29.411764705882355,-0.24509803921568718
