Citation of software for World,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,27.0,3.818953323903819,6.5685164212910525,-2.7495630973872336
3,32.0,4.526166902404526,5.889014722536806,-1.3628478201322798
4,28.0,3.9603960396039604,4.303510758776897,-0.34311471917293623
5,46.0,6.506364922206506,9.626274065685164,-3.119909143478658
6,27.0,3.818953323903819,5.096262740656852,-1.2773094167530328
7,66.0,9.335219236209335,6.342015855039637,2.993203381169698
8,98.0,13.861386138613863,9.739524348810873,4.12186178980299
9,70.0,9.900990099009901,5.775764439411098,4.125225659598803
10 (All the time),253.0,35.785007072135784,27.633069082672705,8.151937989463079
