Country,education comparison,Total count,Percentage per countries
Australia,Doctorate,82,62.6
Australia,Other,34,25.95
Australia,Master degree,15,11.45
Canada,Doctorate,16,72.73
Canada,Other,6,27.27
Germany,Master degree,290,49.07
Germany,Doctorate,251,42.47
Germany,Other,50,8.46
Netherlands,Doctorate,61,50.83
Netherlands,Master degree,52,43.33
Netherlands,Other,7,5.83
New Zealand,Doctorate,26,40.0
New Zealand,Other,21,32.31
New Zealand,Master degree,18,27.69
South Africa,Other,12,48.0
South Africa,Doctorate,7,28.0
South Africa,Master degree,6,24.0
United Kingdom,Doctorate,290,70.56
United Kingdom,Master degree,83,20.19
United Kingdom,Other,38,9.25
United States,Doctorate,151,49.19
United States,Master degree,82,26.71
United States,Other,74,24.1
World,Other,175,54.69
World,Doctorate,84,26.25
World,Master degree,61,19.06
