Highest level of education for World,Count,Percentage,Percentage in 2018,Difference with previous year
Doctorate,394,39.518555667001,43.31658291457286,-3.7980272475718593
Master degree,247,24.77432296890672,29.447236180904525,-4.672913211997805
Undergraduate degree,69,6.920762286860582,9.447236180904522,-2.5264738940439395
doctorate,65,6.519558676028084,,
PhD,34,3.4102306920762286,2.7135678391959797,0.696662852880249
,31,3.1093279839518555,0.4020100502512563,2.7073179337005993
doctorat,29,2.908726178535607,,
WO (Wetenschappelijk onderwijs) Master,26,2.6078234704112337,2.0100502512562812,0.5977732191549525
AQF 10 - Doctoral Degree,19,1.9057171514543632,6.331658291457286,-4.425941140002923
AQF 8 - Bachelor Honours Degree / Graduate Certificate / Graduate Diploma,7,0.7021063189568706,1.306532663316583,-0.6044263443597124
Other,7,0.7021063189568706,0.8040201005025126,-0.10191378154564201
"Final secondary-school examinations, general qualification for university entrance",5,0.5015045135406219,0.7035175879396985,-0.20201307439907668
Masters Degree,4,0.4012036108324975,0.10050251256281408,0.30070109826968344
AQF 9 - Masters Degree,4,0.4012036108324975,1.105527638190955,-0.7043240273584574
licentiate,3,0.3009027081243731,,
HBO (Hoger beroepsonderwijs) Master,3,0.3009027081243731,0.3015075376884422,-0.0006048295640690982
diplôme dingénieur,2,0.20060180541624875,,
bac+5,2,0.20060180541624875,,
AQF 7 - Bachelor Degree,2,0.20060180541624875,1.105527638190955,-0.9049258327747062
doctorat (phd),2,0.20060180541624875,,
associate,2,0.20060180541624875,,
HBO (Hoger beroepsonderwijs) Bachelor,2,0.20060180541624875,0.10050251256281408,0.10009929285343468
Further Education,2,0.20060180541624875,,
high school,2,0.20060180541624875,,
bac +5,2,0.20060180541624875,,
diplome dingenieur (baccalaureat +5),1,0.10030090270812438,,
bsc (currently attending; not graduated),1,0.10030090270812438,,
High School,1,0.10030090270812438,,
None,1,0.10030090270812438,,
magister,1,0.10030090270812438,,
bsc in computer science,1,0.10030090270812438,,
master degree,1,0.10030090270812438,,
Associate degree (typically from a community college),1,0.10030090270812438,,
bac+2,1,0.10030090270812438,,
ma,1,0.10030090270812438,,
enrolled in phd (computer science),1,0.10030090270812438,,
masters of science,1,0.10030090270812438,,
maestria,1,0.10030090270812438,,
bsc,1,0.10030090270812438,,
hochschule,1,0.10030090270812438,,
doctorant,1,0.10030090270812438,,
doctorat + 2ans de post-doc,1,0.10030090270812438,,
WO (Wetenschappelijk onderwijs) Bachelor,1,0.10030090270812438,0.3015075376884422,-0.20120663498031782
btech,1,0.10030090270812438,,
pre-bachelor,1,0.10030090270812438,,
habilitation à diriger des thèses - thèse,1,0.10030090270812438,,
"Further Education (NVQ A-Level, ...)",1,0.10030090270812438,0.4020100502512563,-0.30170914754313194
graduate degree,1,0.10030090270812438,,
bac+8,1,0.10030090270812438,,
applicable,1,0.10030090270812438,,
phd candidate,1,0.10030090270812438,,
bac+4,1,0.10030090270812438,,
mastère spécialisé (bac +6),1,0.10030090270812438,,
italian laurea (5 years with thesis) roughly master,1,0.10030090270812438,,
je suis actuellement en doctorat,1,0.10030090270812438,,
bac +3,1,0.10030090270812438,,
GSCEs,1,0.10030090270812438,0.10050251256281408,-0.00020160985468969939
