Ethnicity for United Kingdom,Count,Percentage
White: English / Welsh / Scottish / Northern Irish / British,96.0,54.54545454545454
White: Any other White background,32.0,18.181818181818183
Do not wish to declare,7.0,3.977272727272727
White: Irish,5.0,2.840909090909091
Asian / Asian British: Indian,3.0,1.7045454545454544
"Mixed / Multiple Ethnic groups: Any other Mixed / Multiple ethnic background,",2.0,1.1363636363636365
Asian / Asian British: Chinese,2.0,1.1363636363636365
Other Ethnic group: Any other ethnic group,1.0,0.5681818181818182
Mixed / Multiple Ethnic groups: White and Asian,1.0,0.5681818181818182
Asian / Asian British: Bangladeshi,1.0,0.5681818181818182
