Number of software projects for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,1,1.7241379310344827,,
1.0,9,15.517241379310345,16.0,-0.4827586206896548
2.0,17,29.310344827586203,18.0,11.310344827586203
3.0,16,27.586206896551722,24.0,3.5862068965517224
4.0,4,6.896551724137931,20.0,-13.10344827586207
5.0,7,12.068965517241379,6.0,6.068965517241379
6.0,1,1.7241379310344827,6.0,-4.275862068965518
7.0,1,1.7241379310344827,2.0,-0.27586206896551735
8.0,1,1.7241379310344827,2.0,-0.27586206896551735
10.0,1,1.7241379310344827,,
