Official job title for Germany,Count,Percentage
Wissenschaftlicher Mitarbeiter,44,19.642857142857142
wissenschaftlicher Mitarbeiter,7,3.125
Wissenschaftler,6,2.6785714285714284
Doktorand,6,2.6785714285714284
Research Software Engineer,5,2.232142857142857
Wissenschaftliche Mitarbeiterin,3,1.3392857142857142
PostDoc,3,1.3392857142857142
Research assistant,3,1.3392857142857142
Professor,3,1.3392857142857142
PhD Student,3,1.3392857142857142
Postdoc,3,1.3392857142857142
Informatiker,3,1.3392857142857142
Researcher,2,0.8928571428571428
Postdoctoral researcher,2,0.8928571428571428
Akademischer Rat,2,0.8928571428571428
Group Leader,2,0.8928571428571428
PhD student,2,0.8928571428571428
Junior Research Group Leader,2,0.8928571428571428
Head of Scientific Data Services,2,0.8928571428571428
Abteilungsleiter,2,0.8928571428571428
Research Assistant,2,0.8928571428571428
Research fellow,2,0.8928571428571428
Full-Stack-Developer,1,0.4464285714285714
Research Scientist,1,0.4464285714285714
 Scientific Software Developer,1,0.4464285714285714
Software Development Coordinator,1,0.4464285714285714
Team leader,1,0.4464285714285714
Scientific Software Developer,1,0.4464285714285714
Wissenschaftliche Hilfskraft,1,0.4464285714285714
Head of Department ,1,0.4464285714285714
Bioinformatic software engineer ,1,0.4464285714285714
Studentische Hilfskraft,1,0.4464285714285714
Wissenchaftlicher Mitarbeiter (PostDoc),1,0.4464285714285714
"Wissenschaftlicher Mitarbeiter, Strahlenschutzbeauftragter",1,0.4464285714285714
Wiss. Angestellter,1,0.4464285714285714
Software Architect PANGAEA,1,0.4464285714285714
Data Scientist,1,0.4464285714285714
Scientist,1,0.4464285714285714
Wissenschaftlich-technischer Mitarbeiter,1,0.4464285714285714
Wissenschaftlicher Mitarbeiter (Doktorand),1,0.4464285714285714
Leiter der Arbeitsgruppe Bioinformatik und Informationstechnologie,1,0.4464285714285714
Softwareentwickler,1,0.4464285714285714
Post-doctoral researcher,1,0.4464285714285714
Arbeitsgruppenleiter,1,0.4464285714285714
Senior Software Architect,1,0.4464285714285714
Software Engineer,1,0.4464285714285714
Software Entwickler,1,0.4464285714285714
wissenschaftlicher Softwareentwickler,1,0.4464285714285714
Geschäftsführer,1,0.4464285714285714
Geodaten-Manager,1,0.4464285714285714
Lead Developer Scientific Software,1,0.4464285714285714
wissenschaftlich:e Mitarbeiter:in,1,0.4464285714285714
Beschäftigter,1,0.4464285714285714
Scientific consultant,1,0.4464285714285714
Wissenschaftlich Angestellter,1,0.4464285714285714
*,1,0.4464285714285714
Veterinäroberrätin,1,0.4464285714285714
Senior Research Associate,1,0.4464285714285714
Digital Humanities Officer,1,0.4464285714285714
Head of Section; Leading Scientist,1,0.4464285714285714
Akademischer Mitarbeiter,1,0.4464285714285714
Scientific programmer,1,0.4464285714285714
Research Engineer,1,0.4464285714285714
JProf.,1,0.4464285714285714
WiMi,1,0.4464285714285714
Student Researcher,1,0.4464285714285714
Technischer Mitarbeiter,1,0.4464285714285714
Research Software engineer,1,0.4464285714285714
Technical Lead,1,0.4464285714285714
Wissenschaflticher Mitarbeiter,1,0.4464285714285714
Nachwuchsgruppenleiter,1,0.4464285714285714
Research Data Management and Research Software Engineering,1,0.4464285714285714
Data Scientist / Postdoctoral Fellow,1,0.4464285714285714
Full-Stack Developer,1,0.4464285714285714
Teamleiter,1,0.4464285714285714
Data Analyst,1,0.4464285714285714
Data Analyst (Text and Language Data),1,0.4464285714285714
technischer Mitarbeiter,1,0.4464285714285714
AI Consultant,1,0.4464285714285714
Research Associate (doctoral candidate),1,0.4464285714285714
Data Steward,1,0.4464285714285714
PostDoc Bioinformatik,1,0.4464285714285714
Referent,1,0.4464285714285714
Wiss. Mitarbeiter,1,0.4464285714285714
Wissenschaftlicher Mitarbeiter ,1,0.4464285714285714
Research software engineer,1,0.4464285714285714
Project Lead,1,0.4464285714285714
Senior research assistant,1,0.4464285714285714
Mathematiker,1,0.4464285714285714
Postdoktorant,1,0.4464285714285714
Unix Admin,1,0.4464285714285714
Predoctoral fellow,1,0.4464285714285714
scientist,1,0.4464285714285714
Posdoctoral Researcher,1,0.4464285714285714
Group Manager,1,0.4464285714285714
