Official job title for Netherlands,Count,Percentage
Research Software Engineer,8,12.903225806451612
eScience Research Engineer,2,3.225806451612903
Associate Professor,2,3.225806451612903
Assistant professor,2,3.225806451612903
Researcher,2,3.225806451612903
research software engineer,2,3.225806451612903
Scientific programmer,1,1.6129032258064515
ICT Developer,1,1.6129032258064515
Scientific Programmer,1,1.6129032258064515
Senior Software Developer,1,1.6129032258064515
Technicus O&O Profiel O,1,1.6129032258064515
Software Engineer/Developer,1,1.6129032258064515
SDC software developer,1,1.6129032258064515
Assistant Professor,1,1.6129032258064515
PhD Candidate,1,1.6129032258064515
Scientific researcher,1,1.6129032258064515
Senior Research Software Engineer,1,1.6129032258064515
System Engineer,1,1.6129032258064515
Scientific Software Developer,1,1.6129032258064515
Phd Candidate,1,1.6129032258064515
computational biologist,1,1.6129032258064515
Software developer,1,1.6129032258064515
IT developer,1,1.6129032258064515
Technology Lead,1,1.6129032258064515
Head Software Engineering group,1,1.6129032258064515
eScience research Engineer,1,1.6129032258064515
Research software engineer,1,1.6129032258064515
Scientific system designer,1,1.6129032258064515
programme manager,1,1.6129032258064515
Senior Information Analyst,1,1.6129032258064515
Ontwikkelaar ICT,1,1.6129032258064515
Doctoral candidate,1,1.6129032258064515
PhD student,1,1.6129032258064515
Technical support for research and education.,1,1.6129032258064515
Technical Specialist,1,1.6129032258064515
Senior eScience Research Engineer,1,1.6129032258064515
Directeur Digitale Infrastructuur,1,1.6129032258064515
Master student,1,1.6129032258064515
Full Professor,1,1.6129032258064515
rse,1,1.6129032258064515
Senior Bioinformatician,1,1.6129032258064515
Product Manager,1,1.6129032258064515
Senior Software Design Engineer,1,1.6129032258064515
Predoctoral Researcher,1,1.6129032258064515
RSE,1,1.6129032258064515
PhD candidate,1,1.6129032258064515
bioinformatician,1,1.6129032258064515
assitant professor,1,1.6129032258064515
Independent consultant,1,1.6129032258064515
Bioinformatics intern,1,1.6129032258064515
