Official job title for United States,Count,Percentage
Research Software Engineer,13,8.609271523178808
Senior Research Software Engineer,4,2.6490066225165565
Senior Research Programmer,4,2.6490066225165565
Senior Research Scientist,3,1.9867549668874174
CEO,3,1.9867549668874174
Software Scientist,3,1.9867549668874174
Research Scientist,3,1.9867549668874174
Research scientist,2,1.3245033112582782
Computer Scientist,2,1.3245033112582782
Professional Research Assistant,2,1.3245033112582782
Sr Research Software Engineer ,2,1.3245033112582782
Research Programmer,2,1.3245033112582782
Senior Bioinformatics Software Developer,2,1.3245033112582782
Assistant Professor,2,1.3245033112582782
"Director, Research Software Engineering",1,0.6622516556291391
Faculty Research Assistant,1,0.6622516556291391
Research Scientist/Postdoctoral Researcher,1,0.6622516556291391
Senior Applications Programmer/ Analyst,1,0.6622516556291391
I contract with multiple research software orgs - industry and DOE lab,1,0.6622516556291391
Senior Research & Development Engineer,1,0.6622516556291391
Software Developer 2,1,0.6622516556291391
Research Professional,1,0.6622516556291391
Data Analyst,1,0.6622516556291391
Software engineer,1,0.6622516556291391
Semantics Web technologist,1,0.6622516556291391
Software Systems Engineer,1,0.6622516556291391
Scientific Software Engineer,1,0.6622516556291391
Postdoctoral Appointee,1,0.6622516556291391
HPC Consultant/Software Integration Specialist,1,0.6622516556291391
Group Supervisor,1,0.6622516556291391
"Technical Director, Mandala",1,0.6622516556291391
Computational Scientist / Lecturer (joint appointment),1,0.6622516556291391
Scientific Applications Engineer,1,0.6622516556291391
Computational and Data Research Specialist,1,0.6622516556291391
"Associate Professor, Biochemistry and Biophysics",1,0.6622516556291391
Postdoctoral Associate,1,0.6622516556291391
Staff,1,0.6622516556291391
Data Science Specialist,1,0.6622516556291391
NSLS-II Chief Data Scientist,1,0.6622516556291391
statistical programmer,1,0.6622516556291391
Reserach Software Engineer,1,0.6622516556291391
System Administrator,1,0.6622516556291391
Senior Research Network Engineer,1,0.6622516556291391
Semantics Web Technologist,1,0.6622516556291391
Lead Data Scientist,1,0.6622516556291391
Scientist,1,0.6622516556291391
Information Tech Specialist,1,0.6622516556291391
R&D S&E Mechanical Engineer,1,0.6622516556291391
Data Scientist,1,0.6622516556291391
Physical Science Technician,1,0.6622516556291391
Director,1,0.6622516556291391
Software Engineer,1,0.6622516556291391
Senior Software Engineer,1,0.6622516556291391
Researcher II,1,0.6622516556291391
Programmer Analyst III,1,0.6622516556291391
Computational Scientist,1,0.6622516556291391
Computational Physicist / Research Software Engineer,1,0.6622516556291391
Senior Staff Software Engineer,1,0.6622516556291391
Principal Computer Scientist,1,0.6622516556291391
Quantitative UX Researcher,1,0.6622516556291391
"Software Engineer, Humanities Research Computing",1,0.6622516556291391
Professor,1,0.6622516556291391
Principal Research Software Engineer / Adjunct Professor of Business Administration,1,0.6622516556291391
Applications developer,1,0.6622516556291391
Scientific Programmer,1,0.6622516556291391
Group Leader,1,0.6622516556291391
Associate Research Scholar,1,0.6622516556291391
Deputy Project Lead for Computer Science,1,0.6622516556291391
Graduate assistant,1,0.6622516556291391
Associate Research Scientist,1,0.6622516556291391
Founder,1,0.6622516556291391
Research Associate,1,0.6622516556291391
Postdoctoral Fellow,1,0.6622516556291391
Archive project scientist,1,0.6622516556291391
scientist,1,0.6622516556291391
"Manager, Cyberinfrastructure and Partnerships - Vermont EPSCoR",1,0.6622516556291391
Sponsored Research Staff,1,0.6622516556291391
Senior Software Test Manager,1,0.6622516556291391
Instrumentation Engineer II,1,0.6622516556291391
"Manager, Research Computing",1,0.6622516556291391
Chief Scientist,1,0.6622516556291391
Software Developer,1,0.6622516556291391
Digital Projects Lead,1,0.6622516556291391
Astrophysicist,1,0.6622516556291391
"Lead Software Developer, Computational Physics",1,0.6622516556291391
Machine Intelligence Engineer,1,0.6622516556291391
Compiler Engineer,1,0.6622516556291391
Student ,1,0.6622516556291391
"R&D S&E, Computer Science",1,0.6622516556291391
Research Data Services Lead,1,0.6622516556291391
research scientist,1,0.6622516556291391
Post doc,1,0.6622516556291391
Lead Scientific Software Engineer,1,0.6622516556291391
Instructor,1,0.6622516556291391
Research Computing Lead,1,0.6622516556291391
Systems Programmer / Back-end Systems Software Developer / IT RC Systems Professional IV,1,0.6622516556291391
graduate student,1,0.6622516556291391
Graduate Student,1,0.6622516556291391
Research Chemist,1,0.6622516556291391
Mathematician,1,0.6622516556291391
Physicist,1,0.6622516556291391
Materials Reserach Engineer,1,0.6622516556291391
Chemical Engineer,1,0.6622516556291391
PhD Candidate,1,0.6622516556291391
Supervisory Materials Research Engineer,1,0.6622516556291391
Data Science Facilitator,1,0.6622516556291391
Web Developer ,1,0.6622516556291391
Sr Research Software Engineer,1,0.6622516556291391
Software scientist,1,0.6622516556291391
Clinical Research Associate,1,0.6622516556291391
IS Professional 5A,1,0.6622516556291391
Senior Research Analyst,1,0.6622516556291391
HPC Systems Programmer,1,0.6622516556291391
Lead Software Engineer,1,0.6622516556291391
application programmer/analyst,1,0.6622516556291391
Senior Associate Scientist,1,0.6622516556291391
Senior Research Engagement Engineer,1,0.6622516556291391
Senior Faculty Specialist,1,0.6622516556291391
