Open source use for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,,,,
3,1.0,3.8461538461538463,2.941176470588235,0.9049773755656112
4,1.0,3.8461538461538463,,
5,3.0,11.538461538461538,2.941176470588235,8.597285067873303
6,1.0,3.8461538461538463,5.88235294117647,-2.036199095022624
7,,,,
8,2.0,7.6923076923076925,5.88235294117647,1.8099547511312224
9,5.0,19.230769230769234,14.705882352941178,4.524886877828056
10 (All the time),13.0,50.0,50.0,0.0
