Open source use for World,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,24.0,2.8301886792452833,3.9193729003359463,-1.089184221090663
3,29.0,3.4198113207547167,4.143337066069429,-0.7235257453147121
4,13.0,1.5330188679245282,2.2396416573348263,-0.7066227894102981
5,40.0,4.716981132075472,5.039193729003359,-0.32221259692788706
6,25.0,2.94811320754717,3.0235162374020157,-0.07540302985484582
7,37.0,4.363207547169811,5.487122060470324,-1.1239145133005133
8,92.0,10.849056603773585,8.846584546472565,2.00247205730102
9,102.0,12.028301886792454,11.87010078387458,0.15820110291787337
10 (All the time),417.0,49.174528301886795,43.44904815229563,5.725480149591164
