Country,Count
Germany,258
United Kingdom,176
United States,161
France,77
Netherlands,66
Finland,58
Australia,33
New Zealand,28
Sweden,22
Belgium,17
Norway,12
Canada,11
Italy,11
Denmark,9
Spain,8
Switzerland,7
Argentina,5
Austria,4
Greece,3
Israel,3
Luxembourg,3
Portugal,3
Afghanistan,2
Brazil,2
Iceland,2
Poland,2
South Africa,2
Ukraine,2
Chile,1
Colombia,1
Czech Republic,1
Egypt,1
India,1
Japan,1
Liechtenstein,1
Mexico,1
Pakistan,1
Puerto Rico,1
Saint Barthélemy,1
Saudi Arabia,1
Singapore,1
Uruguay,1
Åland Islands,1
