Programming languages for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Python,23.0,71.875,68.68686868686868,3.188131313131322
R,12.0,37.5,39.39393939393939,-1.893939393939391
SQL,8.0,25.0,34.34343434343434,-9.343434343434339
C++,7.0,21.875,32.323232323232325,-10.448232323232325
C,6.0,18.75,31.313131313131315,-12.563131313131315
JavaScript,6.0,18.75,26.262626262626267,-7.5126262626262665
Fortran,6.0,18.75,22.22222222222222,-3.4722222222222214
Julia,4.0,12.5,3.0303030303030303,9.469696969696969
Perl,3.0,9.375,8.080808080808081,1.2941919191919187
other. What programming languages do you use at work? Please select all that apply. ,3.0,9.375,0.0,9.375
Java,3.0,9.375,20.2020202020202,-10.8270202020202
PHP,2.0,6.25,9.090909090909092,-2.8409090909090917
Assembly,2.0,6.25,0.0,6.25
Rust,1.0,3.125,1.0101010101010102,2.1148989898989896
Matlab,1.0,3.125,12.121212121212121,-8.996212121212121
Groovy,1.0,3.125,2.0202020202020203,1.1047979797979797
Ruby,0.0,0.0,5.05050505050505,-5.05050505050505
TypeScript,0.0,0.0,1.0101010101010102,-1.0101010101010102
VB.NET,0.0,0.0,2.0202020202020203,-2.0202020202020203
Scala,0.0,0.0,1.0101010101010102,-1.0101010101010102
VBA,0.0,0.0,2.0202020202020203,-2.0202020202020203
Visual Basic,0.0,0.0,2.0202020202020203,-2.0202020202020203
Lua,0.0,0.0,2.0202020202020203,-2.0202020202020203
Haskell,0.0,0.0,1.0101010101010102,-1.0101010101010102
Go,0.0,0.0,5.05050505050505,-5.05050505050505
F#,0.0,0.0,1.0101010101010102,-1.0101010101010102
Clojure,0.0,0.0,1.0101010101010102,-1.0101010101010102
C#,0.0,0.0,12.121212121212121,-12.121212121212121
