Programming languages for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Python,130.0,74.28571428571429,77.11864406779661,-2.832929782082317
JavaScript,58.0,33.14285714285714,27.54237288135593,5.600484261501208
C++,58.0,33.14285714285714,37.71186440677966,-4.569007263922522
R,44.0,25.142857142857146,29.23728813559322,-4.094430992736076
SQL,39.0,22.285714285714285,27.966101694915253,-5.680387409200968
C,35.0,20.0,35.16949152542373,-15.16949152542373
Fortran,29.0,16.57142857142857,27.54237288135593,-10.970944309927361
Matlab,26.0,14.857142857142858,17.372881355932204,-2.5157384987893465
Java,22.0,12.571428571428573,19.915254237288135,-7.343825665859562
TypeScript,17.0,9.714285714285714,3.389830508474576,6.324455205811137
other. What programming languages do you use at work? Please select all that apply. ,13.0,7.428571428571429,0.0,7.428571428571429
Ruby,12.0,6.857142857142858,2.9661016949152543,3.8910411622276033
C#,12.0,6.857142857142858,7.203389830508475,-0.34624697336561727
PHP,11.0,6.2857142857142865,9.322033898305085,-3.0363196125907983
Julia,6.0,3.428571428571429,1.694915254237288,1.7336561743341408
Perl,6.0,3.428571428571429,12.288135593220339,-8.85956416464891
Rust,3.0,1.7142857142857144,1.694915254237288,0.019370460048426352
Scala,3.0,1.7142857142857144,1.2711864406779663,0.44309927360774815
Objective-C,3.0,1.7142857142857144,0.847457627118644,0.8668280871670704
Swift,3.0,1.7142857142857144,0.0,1.7142857142857144
Assembly,2.0,1.1428571428571428,2.5423728813559325,-1.3995157384987897
VBA,2.0,1.1428571428571428,2.9661016949152543,-1.8232445520581115
Go,2.0,1.1428571428571428,1.2711864406779663,-0.12832929782082347
F#,2.0,1.1428571428571428,0.0,1.1428571428571428
Common Lisp,2.0,1.1428571428571428,0.0,1.1428571428571428
Haskell,1.0,0.5714285714285714,0.0,0.5714285714285714
Visual Basic,0.0,0.0,1.2711864406779663,-1.2711864406779663
VB.NET,0.0,0.0,0.847457627118644,-0.847457627118644
Lua,0.0,0.0,1.2711864406779663,-1.2711864406779663
Groovy,0.0,0.0,1.2711864406779663,-1.2711864406779663
CoffeeScript,0.0,0.0,1.2711864406779663,-1.2711864406779663
Clojure,0.0,0.0,0.423728813559322,-0.423728813559322
