Salary for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
Less than 27.499 EUR,2,3.508771929824561,,
Between 27.500 and 32.999 EUR,2,3.508771929824561,6.25,-2.741228070175439
Between 33.000 and 38.499 EUR,6,10.526315789473683,12.5,-1.9736842105263168
Between 38.500 and 43.999 EUR,4,7.017543859649122,12.5,-5.482456140350878
Between 44.000 and 49.999 EUR,7,12.280701754385964,20.833333333333336,-8.552631578947372
Between 50.000 and 54.999 EUR,10,17.543859649122805,6.25,11.293859649122805
Between 55.000 and 65.999 EUR,10,17.543859649122805,20.833333333333336,-3.289473684210531
Between 66.000 and 76.999 EUR,4,7.017543859649122,2.083333333333333,4.934210526315789
Between 77.000 and 109.999 EUR,4,7.017543859649122,4.166666666666666,2.8508771929824563
More than 110.000 EUR,1,1.7543859649122806,,
Prefer not to say,7,12.280701754385964,14.583333333333334,-2.30263157894737
