Type of funding for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Grants,110.0,42.63565891472868,30.930930930930934,11.704727983797746
Institutional support,96.0,37.2093023255814,42.34234234234234,-5.133040016760944
Industry support,13.0,5.038759689922481,11.711711711711711,-6.67295202178923
other. Which of the following sources are used to pay for your effort as a Research Software Engineer? ,10.0,3.875968992248062,0.0,3.875968992248062
Consulting & services,10.0,3.875968992248062,5.7057057057057055,-1.8297367134576437
Foundations & consortiums,7.0,2.7131782945736433,1.5015015015015014,1.211676793072142
Dual license,1.0,0.3875968992248062,0.3003003003003003,0.08729659892450592
Donation button,1.0,0.3875968992248062,0.3003003003003003,0.08729659892450592
I volunteer my time,0.0,0.0,26.726726726726728,-26.726726726726728
Membership,0.0,0.0,0.6006006006006006,-0.6006006006006006
SaaS,0.0,0.0,0.3003003003003003,-0.3003003003003003
Books & merchandise,0.0,0.0,0.3003003003003003,-0.3003003003003003
