Type of funding for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Institutional support,15.0,53.57142857142857,54.054054054054056,-0.48262548262548677
Grants,10.0,35.714285714285715,32.432432432432435,3.28185328185328
Consulting & services,5.0,17.857142857142858,18.91891891891892,-1.0617760617760617
Industry support,4.0,14.285714285714285,8.108108108108109,6.177606177606176
other. Which of the following sources are used to pay for your effort as a Research Software Engineer? ,1.0,3.571428571428571,0.0,3.571428571428571
SaaS,1.0,3.571428571428571,0.0,3.571428571428571
Membership,1.0,3.571428571428571,0.0,3.571428571428571
Venture capital,1.0,3.571428571428571,0.0,3.571428571428571
I volunteer my time,0.0,0.0,18.91891891891892,-18.91891891891892
Trademark licensing & franchising,0.0,0.0,2.7027027027027026,-2.7027027027027026
Foundations & consortiums,0.0,0.0,2.7027027027027026,-2.7027027027027026
Crowdfunding (one-time),0.0,0.0,2.7027027027027026,-2.7027027027027026
