Type of funding for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Grants,101.0,57.714285714285715,55.08474576271186,2.629539951573854
Institutional support,72.0,41.14285714285714,34.32203389830508,6.820823244552059
Industry support,21.0,12.0,6.3559322033898304,5.6440677966101696
Consulting & services,16.0,9.142857142857142,8.47457627118644,0.6682808716707029
other. Which of the following sources are used to pay for your effort as a Research Software Engineer? ,6.0,3.428571428571429,0.0,3.428571428571429
Foundations & consortiums,4.0,2.2857142857142856,3.389830508474576,-1.1041162227602905
Venture capital,3.0,1.7142857142857144,0.0,1.7142857142857144
Open core,3.0,1.7142857142857144,0.423728813559322,1.2905569007263924
Advertising & sponsorships,2.0,1.1428571428571428,0.423728813559322,0.7191283292978208
Books & merchandise,1.0,0.5714285714285714,0.0,0.5714285714285714
Membership,1.0,0.5714285714285714,0.847457627118644,-0.27602905569007263
I volunteer my time,0.0,0.0,17.372881355932204,-17.372881355932204
