Use of Digital Object Identifier for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,16.0,8.24742268041237,7.4324324324324325,0.8149902479799378
3,11.0,5.670103092783505,5.0675675675675675,0.6025355252159379
4,10.0,5.154639175257731,2.027027027027027,3.127612148230704
5,20.0,10.309278350515463,6.081081081081082,4.228197269434381
6,5.0,2.5773195876288657,2.027027027027027,0.5502925606018385
7,5.0,2.5773195876288657,1.6891891891891893,0.8881303984396764
8,16.0,8.24742268041237,1.3513513513513513,6.896071329061019
9,7.0,3.608247422680412,2.364864864864865,1.243382557815547
10 (All the time),20.0,10.309278350515463,4.72972972972973,5.579548620785733
