Use of Digital Object Identifier for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,1.0,1.8867924528301887,3.9215686274509802,-2.0347761746207915
3,4.0,7.547169811320755,1.9607843137254901,5.5863854975952645
4,2.0,3.7735849056603774,3.9215686274509802,-0.14798372179060282
5,7.0,13.20754716981132,5.88235294117647,7.32519422863485
6,4.0,7.547169811320755,1.9607843137254901,5.5863854975952645
7,2.0,3.7735849056603774,9.803921568627452,-6.030336662967074
8,2.0,3.7735849056603774,5.88235294117647,-2.1087680355160927
9,7.0,13.20754716981132,,
10 (All the time),8.0,15.09433962264151,7.8431372549019605,7.251202367739549
