Use of Digital Object Identifier for United States,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,11.0,9.166666666666666,6.521739130434782,2.644927536231884
3,13.0,10.833333333333334,5.797101449275362,5.036231884057972
4,3.0,2.5,0.7246376811594203,1.7753623188405796
5,10.0,8.333333333333332,7.971014492753622,0.36231884057971
6,9.0,7.5,3.6231884057971016,3.8768115942028984
7,9.0,7.5,4.3478260869565215,3.1521739130434785
8,6.0,5.0,5.072463768115942,-0.07246376811594235
9,7.0,5.833333333333333,3.6231884057971016,2.2101449275362315
10 (All the time),11.0,9.166666666666666,5.072463768115942,4.094202898550724
