Use of Digital Object Identifier for World,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,59.0,8.049113233287859,6.681766704416761,1.3673465288710975
3,54.0,7.3669849931787175,5.436013590033975,1.930971403144742
4,29.0,3.956343792633015,3.397508493771234,0.5588352988617813
5,66.0,9.004092769440655,7.361268403171008,1.6428243662696476
6,35.0,4.774897680763983,3.6240090600226504,1.1508886207413327
7,43.0,5.866302864938609,3.6240090600226504,2.2422938049159584
8,50.0,6.8212824010914055,3.057757644394111,3.7635247566972945
9,34.0,4.638472032742155,2.7180067950169877,1.9204652377251672
10 (All the time),88.0,12.005457025920874,6.681766704416761,5.323690321504113
