Which university for Australia,Count,Percentage
Queensland University of Technology,4,21.052631578947366
The Australian National University,3,15.789473684210526
The University of Melbourne,3,15.789473684210526
University of Canberra,1,5.263157894736842
Swinburne University of Technology,1,5.263157894736842
University of Western Sydney,1,5.263157894736842
The University of Queensland,1,5.263157894736842
Curtin University of Technology,1,5.263157894736842
University of Tasmania,1,5.263157894736842
Macquarie University,1,5.263157894736842
The University of Sydney,1,5.263157894736842
University of Newcastle,1,5.263157894736842
