Which university for Germany,Count,Percentage
Technische Universität Darmstadt,11,12.359550561797752
OtherTU Braunschweig,9,10.112359550561797
University of Stuttgart,8,8.98876404494382
University of Potsdam,8,8.98876404494382
University of Göttingen,7,7.865168539325842
OtherTechnische Universität Braunschweig,6,6.741573033707865
TU Dresden,5,5.617977528089887
Karlsruhe Institute of Technology,4,4.49438202247191
University of Jena,3,3.3707865168539324
University of Würzburg,3,3.3707865168539324
University of Bonn,2,2.247191011235955
University of Hamburg,2,2.247191011235955
TU Dortmund,2,2.247191011235955
OtherUK,1,1.1235955056179776
Leipzig University,1,1.1235955056179776
University of Bremen,1,1.1235955056179776
University of Erlangen-Nuremberg,1,1.1235955056179776
Goethe University Frankfurt,1,1.1235955056179776
Ludwig Maximilian University of Munich,1,1.1235955056179776
Technical University of Munich,1,1.1235955056179776
University of Kiel,1,1.1235955056179776
University of Freiburg,1,1.1235955056179776
University of Konstanz,1,1.1235955056179776
OtherBundeswehr University Munich,1,1.1235955056179776
University of Hanover,1,1.1235955056179776
Free University of Berlin,1,1.1235955056179776
University of Trier,1,1.1235955056179776
University of Duisburg-Essen,1,1.1235955056179776
University of Münster,1,1.1235955056179776
Chemnitz University of Technology,1,1.1235955056179776
Heidelberg University,1,1.1235955056179776
RWTH Aachen University,1,1.1235955056179776
