Which university for United States,Count,Percentage
Princeton University,15,15.151515151515152
University of Ilinois at Urbana-Champaign,9,9.090909090909092
Harvard University,5,5.05050505050505
University of Michigan-Ann Arbor,4,4.040404040404041
University of Wisconsin-Madison,3,3.0303030303030303
Northwestern University,3,3.0303030303030303
University of North Carolina at Chapel Hill,3,3.0303030303030303
University of Colorado at Boulder,3,3.0303030303030303
Arizona State University,3,3.0303030303030303
University of Maryland at College Park,2,2.0202020202020203
"University of Virginia, Charlottesville",2,2.0202020202020203
"University of California, Los Angeles",2,2.0202020202020203
Carnegie Mellon University,2,2.0202020202020203
Purdue University,2,2.0202020202020203
Brown University,2,2.0202020202020203
University of Alaska-Fairbanks,2,2.0202020202020203
Massachusetts Institute of Technology,2,2.0202020202020203
University of Washington,2,2.0202020202020203
"Ohio State University, Columbus",2,2.0202020202020203
University of Vermont,2,2.0202020202020203
Dartmouth College,1,1.0101010101010102
Tufts University,1,1.0101010101010102
Oregon State University,1,1.0101010101010102
University of Wyoming,1,1.0101010101010102
"University of California, Irvine",1,1.0101010101010102
University of Wisconsin System,1,1.0101010101010102
"University of California, Berkeley",1,1.0101010101010102
Tulane University,1,1.0101010101010102
Indiana University at Bloomington,1,1.0101010101010102
New York University,1,1.0101010101010102
Rutgers University,1,1.0101010101010102
OtherUniversity of Exeter,1,1.0101010101010102
Stanford University,1,1.0101010101010102
"University of California, San Diego",1,1.0101010101010102
University of Florida,1,1.0101010101010102
Duke University,1,1.0101010101010102
University of Chicago,1,1.0101010101010102
"University of California, San Francisco",1,1.0101010101010102
University of Texas at Dallas,1,1.0101010101010102
University of Rochester,1,1.0101010101010102
Case Western Reserve University,1,1.0101010101010102
"University of California, Santa Barbara",1,1.0101010101010102
Southern Methodist University,1,1.0101010101010102
University of Connecticut,1,1.0101010101010102
Yale University,1,1.0101010101010102
Lehigh Univervsity,1,1.0101010101010102
University of Notre Dame,1,1.0101010101010102
Clemson University,1,1.0101010101010102
Otherdo not wish to specify,1,1.0101010101010102
