Which university for World,Count,Percentage
Princeton University,15,3.6855036855036856
Aalto University,13,3.194103194103194
University of Edinburgh,13,3.194103194103194
University of Cambridge,11,2.7027027027027026
University of Oxford,11,2.7027027027027026
Technische Universität Darmstadt,11,2.7027027027027026
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",10,2.457002457002457
University College London (UCL),10,2.457002457002457
OtherTU Braunschweig,9,2.211302211302211
University of Ilinois at Urbana-Champaign,9,2.211302211302211
University of Stuttgart,8,1.9656019656019657
University of Potsdam,8,1.9656019656019657
University of Manchester,8,1.9656019656019657
Newcastle University,7,1.71990171990172
Imperial College London,7,1.71990171990172
Uppsala University,7,1.71990171990172
University of Göttingen,7,1.71990171990172
University of Helsinki,7,1.71990171990172
University of Nottingham,6,1.4742014742014742
University of Sheffield,6,1.4742014742014742
OtherTechnische Universität Braunschweig,6,1.4742014742014742
University of Birmingham,6,1.4742014742014742
TU Dresden,5,1.2285012285012284
University of Bristol,5,1.2285012285012284
University of Oslo,5,1.2285012285012284
Harvard University,5,1.2285012285012284
University of Oulu,4,0.9828009828009828
Queensland University of Technology,4,0.9828009828009828
Karolinska Institute,4,0.9828009828009828
Karlsruhe Institute of Technology,4,0.9828009828009828
University of Michigan-Ann Arbor,4,0.9828009828009828
University of Southampton,4,0.9828009828009828
The University of Auckland,4,0.9828009828009828
King's College London,4,0.9828009828009828
The Australian National University,3,0.7371007371007371
University of Colorado at Boulder,3,0.7371007371007371
Northwestern University,3,0.7371007371007371
University of Würzburg,3,0.7371007371007371
The University of Melbourne,3,0.7371007371007371
University of Wisconsin-Madison,3,0.7371007371007371
Arizona State University,3,0.7371007371007371
University of North Carolina at Chapel Hill,3,0.7371007371007371
University of Jena,3,0.7371007371007371
Queen's University Belfast,2,0.4914004914004914
University of Vaasa,2,0.4914004914004914
Brown University,2,0.4914004914004914
University of Alaska-Fairbanks,2,0.4914004914004914
Purdue University,2,0.4914004914004914
University of Canterbury,2,0.4914004914004914
University of York,2,0.4914004914004914
Norwegian University of Science and Technology,2,0.4914004914004914
Lancaster University,2,0.4914004914004914
"Ohio State University, Columbus",2,0.4914004914004914
University of Bonn,2,0.4914004914004914
University of Maryland at College Park,2,0.4914004914004914
"University of Hull, Hull and Scarborough",2,0.4914004914004914
Royal Institute of Technology,2,0.4914004914004914
Carnegie Mellon University,2,0.4914004914004914
University of Stellenbosch,2,0.4914004914004914
University of Jyväskylä,2,0.4914004914004914
University of Turku,2,0.4914004914004914
"University of Virginia, Charlottesville",2,0.4914004914004914
Chalmers University of Technology,2,0.4914004914004914
University of Vermont,2,0.4914004914004914
Massachusetts Institute of Technology,2,0.4914004914004914
"University of California, Los Angeles",2,0.4914004914004914
Lund University,2,0.4914004914004914
TU Dortmund,2,0.4914004914004914
Cardiff University,2,0.4914004914004914
Swansea University,2,0.4914004914004914
University of Hamburg,2,0.4914004914004914
University of Washington,2,0.4914004914004914
Duke University,1,0.2457002457002457
Technical University of Munich,1,0.2457002457002457
University of Kiel,1,0.2457002457002457
University of Chicago,1,0.2457002457002457
Leipzig University,1,0.2457002457002457
University of Bremen,1,0.2457002457002457
OtherUK,1,0.2457002457002457
"University of California, Irvine",1,0.2457002457002457
University of Florida,1,0.2457002457002457
Victoria University of Wellington,1,0.2457002457002457
OtherUniversity of Exeter,1,0.2457002457002457
Rutgers University,1,0.2457002457002457
RWTH Aachen University,1,0.2457002457002457
New York University,1,0.2457002457002457
University of Newcastle,1,0.2457002457002457
Ludwig Maximilian University of Munich,1,0.2457002457002457
University of Wisconsin System,1,0.2457002457002457
Tulane University,1,0.2457002457002457
