socio1._.In which country do you work?,socio2._.Please select your gender,socio2[other]._.Please select your gender [Other]
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,,
Australia,Male,
Australia,Male,
Australia,Female,
Australia,Male,
Australia,,
Australia,Male,
Australia,Prefer not to say,
Australia,Male,
Australia,Male,
Australia,Female,
Australia,Male,
Australia,,
Australia,Male,
Australia,Male,
Australia,,
Australia,Male,
Australia,Female,
Australia,Male,
Australia,,
Australia,Female,
Australia,Female,
Australia,Prefer not to say,
Australia,Female,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,,
Australia,Male,
Australia,Male,
Australia,Female,genderqueer
Australia,Female,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,,
Australia,Female,
Australia,Male,
Australia,Female,
Australia,Male,
Australia,,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Female,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Female,
Australia,,
Australia,Male,
Australia,,
Australia,,
Australia,,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,,
Australia,Male,
Australia,Prefer not to say,
Australia,,
Australia,Male,
Australia,Male,
Australia,Male,
Australia,,
Australia,Male,
Australia,Male,
Belgium,Male,
Belgium,Male,
Belgium,Male,
Benin,,
Botswana,Male,
Botswana,Male,
Brazil,,
Brazil,Male,
Brazil,Female,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Canada,,
Czech Republic,,
Czech Republic,Male,
Czech Republic,Male,
Czech Republic,Male,
Czech Republic,Male,
Czech Republic,,
Denmark,Male,
Denmark,Male,
Denmark,Male,
Ethiopia,Male,
France,Male,
France,,
France,Female,
France,,
France,,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Female,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Prefer not to say,
Germany,Male,
Germany,Prefer not to say,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,Genderfluid
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Prefer not to say,
Germany,Female,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,,
Germany,Female,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Female,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Female,
Germany,,
Germany,Female,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Prefer not to say,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Prefer not to say,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Female,
Germany,Prefer not to say,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Prefer not to say,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Prefer not to say,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,Male,
Germany,Prefer not to say,
Germany,Male,
Germany,Female,
Germany,Male,
Germany,,
Germany,Male,
Germany,,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,Male,
Germany,,
Germany,Male,
Germany,Female,
