startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-03 12:28:46,,,"≥ £58,172",,,,
2018-09-03 12:32:44,,,"≥ £32,277 and < £43,325",,,,
2018-09-03 12:55:47,,,"≥ £24,057 and < £32,277",,,,
2018-09-03 13:27:40,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-03 13:34:44,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-03 14:25:51,,,"≥ £32,277 and < £43,325",,,,
2018-09-03 14:49:28,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
2018-09-03 14:50:01,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-03 14:55:18,,,,,,,
2018-09-03 15:16:01,,,,,,,
2018-09-03 17:59:56,,,"≥ £43,325 and < £58,172",,,,
2018-09-03 22:20:13,Less than 27.499 EUR,,,,,,
2018-09-03 22:46:32,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-03 22:50:41,,,"≥ £32,277 and < £43,325",,,,
2018-09-04 00:11:17,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-09-04 00:26:15,,,"≥ £24,057 and < £32,277",,,,
2018-09-04 01:14:57,,,,,,,"≥ AUD 120,000"
2018-09-04 01:26:59,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-04 01:33:49,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-04 02:51:09,,,,,,,
2018-09-04 03:45:24,,,,"From $110,000 to $129,999",,,
2018-09-04 04:30:19,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-04 04:44:24,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-04 06:10:38,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-04 07:43:16,,,,,,,"≥ AUD 120,000"
2018-09-04 08:21:17,,,,,,,"< AUD 45,000"
2018-09-04 08:31:56,,,,,,,
2018-09-04 08:55:30,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-04 10:30:32,,,"≥ £43,325 and < £58,172",,,,
2018-09-04 11:01:56,,,,,,,
2018-09-04 11:30:19,,,"≥ £32,277 and < £43,325",,,,
2018-09-04 11:44:24,,,,,,,
2018-09-04 12:53:42,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-04 14:15:38,,,"≥ £32,277 and < £43,325",,,,
2018-09-04 14:59:54,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
2018-09-04 17:29:33,,,,,,,
2018-09-04 17:52:37,,,,"From $90,000 to $109,999",,,
2018-09-04 22:32:20,,,"≥ £32,277 and < £43,325",,,,
2018-09-04 23:18:27,,,,,,"≥ NZD 45,000 and < NZD 65,000",
2018-09-04 23:28:39,,,"≥ £32,277 and < £43,325",,,,
2018-09-05 02:19:22,,,,,,,
2018-09-05 02:20:28,,,,,,,"≥ AUD 120,000"
2018-09-05 02:24:55,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 02:26:03,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-05 02:26:05,,,,,,,
2018-09-05 03:04:04,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 03:31:57,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 03:33:09,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 03:45:45,,,,,,,"≥ AUD 65,000 and < AUD 85,000"
2018-09-05 04:43:19,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 05:17:50,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-05 05:21:17,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-09-05 06:50:13,,,,,,,
2018-09-05 07:43:54,,,,,Between R 555 601 and R 708 310,,
