socio1. In which country do you work?,socio10deqde. Please select your remuneration group according to your collective bargaining agreement
Afghanistan,
Afghanistan,
Åland Islands,
Argentina,
Argentina,
Argentina,
Argentina,
Argentina,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Australia,
Austria,
Austria,
Austria,
Austria,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Belgium,
Brazil,
Brazil,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Canada,
Chile,
Colombia,
Czech Republic,
Denmark,
Denmark,
Denmark,
Denmark,
Denmark,
Denmark,
Denmark,
Denmark,
Denmark,
Egypt,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
Finland,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
France,
Germany,
Germany,
Germany,E13
Germany,
Germany,E13
Germany,E14
Germany,
Germany,E13
Germany,E15
Germany,E13
Germany,
Germany,E14
Germany,
Germany,
Germany,E14
Germany,E13
Germany,E14
Germany,E13
Germany,
Germany,
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,E14
Germany,
Germany,E13
Germany,E14
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,
Germany,
Germany,E13
Germany,E11
Germany,E13
Germany,E15
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,E13
Germany,E11
Germany,
Germany,E13
Germany,E13
Germany,E13
Germany,
Germany,E14
Germany,E13
Germany,E14
Germany,
Germany,E13
Germany,
Germany,E13
Germany,
Germany,
Germany,E15
Germany,E13
Germany,E13
Germany,
Germany,
Germany,
Germany,E13
Germany,E13
Germany,E14
Germany,E14
Germany,E13
Germany,
Germany,E11
Germany,E13
Germany,E13
Germany,E1-E7
Germany,E13
